index,disease_name,description,Possible Steps,image_url
10,Corn : Northern Leaf Blight,"B?nh b?c lá ngô mi?n B?c (NCLB) do n?m Setosphaeria turcica gây ra. Các tri?u ch?ng th??ng xu?t hi?n ??u tiên ? lá d??i. Các t?n th??ng trên lá dài (1 ??n 6 inch) và hình elip, lúc ??u màu xanh xám nh?ng sau ?ó chuy?n sang màu xám nh?t ho?c nâu. Trong ?i?u ki?n ?m ??t, các bào t? màu xám ?en ???c t?o ra, th??ng ? b? m?t lá d??i, làm cho các t?n th??ng có màu xám ""b?n"". Toàn b? lá trên cây b? tàn phá nghiêm tr?ng có th? ch?t, do ?ó không nhìn th?y các t?n th??ng riêng l?. Các t?n th??ng có th? x?y ra ? v? tr?u bên ngoài c?a tai, nh?ng h?t nhân không b? nhi?m trùng. Trên các gi?ng lai có ch?a gen Ht ?? kháng n?m, các t?n th??ng nh? h?n, úa vàng và có th? phát tri?n thành các v?t tuy?n tính. Nh?ng t?n th??ng này hi?m khi t?o ra bào t?.","Fungicide applications reduced Northern Corn Leaf Blight damage and protected yield. Fungicide value was higher in reducing yield in susceptible corn hybrids. Fungicide were most effective if they were applied at disease onset. Disease onset varied in growth stages, and so the best stage to apply fungicides.",https://crop-protection-network.s3.amazonaws.com/articles/NLB-Daren-Mueller-02.jpg
11,Corn : Healthy,"Cây ngô thích nhi?t ?? ban ngày t? 75 ??n 80 ?? F và 65 ??n 70 ?? F vào ban ?êm. ??t c?n ???c gi? ?m liên t?c, nh?ng không b? s?ng n??c và chúng ch? c?n phân bón 6 tháng m?t l?n. M?c dù dracaena có th? m?t ?i?u ki?n ánh sáng y?u, nh?ng chúng ho?t ??ng t?t nh?t khi ???c ??t trong ánh sáng m?nh nh?ng gián ti?p. Nó ch? là t? nhiên cho m?t cây ?? s?n xu?t m?t vài lá vàng, nó không có gì ?? báo ??ng. Tuy nhiên, n?u nó t?o ra nhi?u lá vàng cùng m?t lúc, gi? s? n?m ho?c sáu, b?n có th? t??i n??c quá nhi?u ho?c cây có th? b? thi?u ánh sáng.","Corn has several health benefits. Because of the high fiber content, it can aid with digestion. It also contains valuable B vitamins, which are important to your overall health. Corn also provides our bodies with essential minerals such as zinc, magnesium, copper, iron and manganese.",https://c8.alamy.com/comp/A85TR2/young-healthy-green-leaves-of-corn-maize-plant-in-pretty-unfolding-A85TR2.jpg
12,Grape : Black Rot,"B?nh th?i ?en nho là m?t b?nh n?m gây ra b?i m?t lo?i n?m ascomycetous, Guignardia bidwellii, t?n công cây nho trong th?i ti?t nóng ?m. ""B?nh th?i ?en nho có ngu?n g?c t? mi?n ?ông B?c M?, nh?ng hi?n nay x?y ra ? các khu v?c c?a châu Âu, Nam M? và châu Á. Nó có th? gây m?t mùa hoàn toàn ? vùng khí h?u ?m áp, ?m ??t, nh?ng h?u nh? không ???c bi?t ??n ? nh?ng vùng có mùa hè khô c?n. Tên này xu?t phát t? rìa ?en giáp v?i các m?ng nâu m?c trên lá. B?nh c?ng t?n công các b? ph?n khác c?a cây, ""t?t c? các ph?n màu xanh c?a cây nho: ch?i, lá và thân qu?, tua và qu?. H?u qu? tai h?i nh?t là ??i v?i trái cây""",Mancozeb is available as BONIDE MANCOZEB FLOWABLE fungicide. It contains 37% Mancozeb and should be very effective for controlling black rot. Nova (myclobutanil) is available in IMMUNOX FUNGICIDE. It is 1.55 % myclobutanil and should be effective for controlling black rot.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Guignardia_bidwellii_08.jpg/330px-Guignardia_bidwellii_08.jpg
13,Grape : Esca | Black Measles,"B?nh s?i nho, còn ???c g?i là esca, s?i ?en ho?c s?i Tây Ban Nha, t? lâu ?ã gây khó kh?n cho ng??i tr?ng nho v?i bi?u hi?n khó hi?u c?a các tri?u ch?ng và, trong m?t th?i gian dài, thi?u (các) sinh v?t gây b?nh có th? xác ??nh ???c. Cái tên 's?i' dùng ?? ch? nh?ng ??m b? m?t ???c tìm th?y trên qu? (Hình 1). Trong mùa, các ??m có th? k?t l?i trên b? m?t da, làm cho qu? m?ng có màu ?en. ??m có th? phát tri?n b?t c? lúc nào gi?a b? qu? và m?t vài ngày tr??c khi thu ho?ch. Qu? m?ng b? ?nh h??ng ? b? qu? có xu h??ng không tr??ng thành và s? co l?i và khô. Ngoài ??m, trái cây b? ?nh h??ng vào cu?i mùa c?ng s? có v? chát. Các tri?u ch?ng trên lá ???c ??c tr?ng b?i mô hình 's?c h?' (Hình lá 2 ?áy) khi nhi?m trùng nghiêm tr?ng t? n?m này sang n?m khác. Nhi?m trùng nh? có th? gây ra các tri?u ch?ng trên lá (Hình 2 lá trên) có th? b? nh?m l?n v?i các b?nh khác ho?c thi?u h?t dinh d??ng. Các gi?ng màu tr?ng s? hi?n th? các khu v?c nhi?m clo sau ?ó là ho?i t?, trong khi các gi?ng màu ?? ???c ??c tr?ng b?i các khu v?c màu ?? theo sau là ho?i t?. Các tri?u ch?ng ??u xuân bao g?m ch?t ??u ch?i, ??i màu lá và r?ng lá hoàn toàn trong tr??ng h?p nghiêm tr?ng.","Till date there is no effective method to control this disease. Remove the infected berries, leaves and trunk and destroy them. Protect the prune wounds to minimize fungal infection using wound sealant (5% boric acid in acrylic paint) or essential oil or suitable fungicides.",https://www.researchgate.net/profile/Laura-Mugnai/publication/43161073/figure/fig1/AS:340404659605512@1458170203496/Symptoms-associated-with-esca-of-grapevine-chlorosis-and-necrosis-on-the-leaves-showing_Q320.jpg
14,Grape : Leaf Blight | Isariopsis Leaf Spot,"N?m là m?t m?m b?nh b?t bu?c có th? t?n công t?t c? các ph?n màu xanh c?a cây nho.

Các tri?u ch?ng c?a b?nh này th??ng b? nh?m l?n v?i các tri?u ch?ng c?a b?nh ph?n tr?ng. Lá b? nhi?m b?nh phát tri?n các t?n th??ng màu vàng xanh nh?t, d?n d?n chuy?n sang màu nâu. Lá b? nhi?m b?nh n?ng th??ng r?ng s?m. Cu?ng lá, tua và ch?i b? nhi?m b?nh th??ng cu?n tròn, phát tri?n k? gian c?a ng??i ch?n c?u, và cu?i cùng chuy?n sang màu nâu và ch?t.

Qu? non r?t d? b? nhi?m trùng và th??ng ???c bao ph? b?i c?u trúc ??u qu? màu tr?ng c?a n?m. Nh?ng qu? m?ng già b? nhi?m b?nh c?a các gi?ng màu tr?ng có th? chuy?n sang màu xanh xám x?n, trong khi nh?ng qu? c?a các gi?ng màu ?en chuy?n sang màu ?? h?ng.","Apply dormant sprays to reduce inoculum levels.
Cut it out. 
Open up that canopy.
Don't let down your defenses.
Scout early, scout often.
Use protectant and systemic fungicides.
Consider fungicide resistance.
Watch the weather.",https://www.goodfruit.com/wp-content/uploads/Black-rot-lesions-on-leaves-indicate-potential-for-fruit-infection-1-feat2.jpg
15,Grape : Healthy,Ch? áp d?ng n??c cho vùng r?. Tránh ?? lá nho b? ??t vì ?i?u này có th? khuy?n khích nhi?u b?nh nho. Gi?m t??i n??c cho cây nho non vào mùa thu ?? khuy?n khích cây c?ng l?i ?? chu?n b? cho mùa ?ông. Dây leo già hi?m khi c?n t??i n??c tr? khi trên ??t cát ho?c ??t thoát n??c r?t t?t khác.,"Packed With Nutrients, Especially Vitamins C and K.
High Antioxidant Contents May Prevent Chronic Diseases.
Plant Compounds May Protect Against Certain Types of Cancer. 
Beneficial for Heart Health in Various Impressive Ways.
May Decrease Blood Sugar Levels and Protect Against Diabetes.",https://images.indianexpress.com/2021/02/grapes-1200.jpg
16,Orange : Haunglongbing | Citrus Greening,"B?nh xanh lá cây có múi là m?t b?nh c?a cây có múi do m?m b?nh lây truy?n qua véc t?. HLB ???c phân bi?t b?i các tri?u ch?ng ph? bi?n c?a màu vàng c?a t?nh m?ch và các mô lân c?n; ti?p theo là l?m ??m loang l? toàn b? lá, r?ng lá s?m, cành cây ch?t, sâu r?ng c?a r? trung chuy?n và r? bên, và suy gi?m s?c s?ng, cu?i cùng là cái ch?t c?a toàn b? cây. Cây b? ?nh h??ng có s? phát tri?n còi c?c, mang nhi?u hoa trái mùa (h?u h?t trong s? ?ó r?ng) và t?o ra qu? nh?, có hình d?ng không ??u v?i v? dày, nh?t nh?t v?n còn xanh ? phía d??i và có v? r?t ??ng. Các tri?u ch?ng ph? bi?n th??ng có th? b? nh?m l?n v?i s? thi?u h?t ch?t dinh d??ng; Tuy nhiên, y?u t? phân bi?t gi?a s? thi?u h?t ch?t dinh d??ng là mô hình ??i x?ng. S? thi?u h?t ch?t dinh d??ng có xu h??ng ??i x?ng d?c theo rìa gân lá, trong khi HLB có màu vàng không ??i x?ng xung quanh gân lá. Tri?u ch?ng ?áng chú ý nh?t c?a HLB là màu xanh lá cây và còi c?c c?a qu?, ??c bi?t là sau khi chín","The only way to prevent the spread of Citrus Greening Disease is to control ACP(Asian Citrus Psyllid). Since citrus is such a popular and widely-planted garden tree, homeowners are on the front lines of this important battle.Spray the lemon tree with Neem oil insecticide, both the top and undersides of the foliage. You may need to repeat in 10-14 days, depending upon the extent of the infestation. Follow up by treating the mold growth with liquid copper fungicide.",https://www.universityofcalifornia.edu/sites/default/files/CitrusGreening.jpg
17,Peach : Bacterial Spot,"B?nh ??m vi khu?n là m?t b?nh quan tr?ng c?a ?ào, xuân ?ào, m? và m?n do Xanthomonas campestris pv gây ra. pruni. Các tri?u ch?ng c?a b?nh này bao g?m ??m qu?, ??m lá và th?i cành. Các tri?u ch?ng c?a trái cây bao g?m r?, n?t, n?t và mô ngâm n??c, có th? làm cho trái cây d? b? th?i nâu, rhizopus và các b?nh nhi?m n?m khác. Nhi?m b?nh ??m lá nghiêm tr?ng có th? gây r?ng lá s?m. R?ng lá nghiêm tr?ng có th? d?n ??n gi?m kích th??c qu?, cháy n?ng và n?t qu?. Cây r?ng lá s?m b? gi?m s?c s?ng và ?? c?ng c?a mùa ?ông.","Fruit symptoms of bacterial spot may be confused with peach scab, caused by the fungus Cladosporium carpophyllium, however scab spots are more circular, have a dark brown/greenish, fuzzy appearance, and do not pit the fruit surface, although skin cracking can occur. Scab does not cause leaf symptoms but can cause spots on twigs. Initial fruit spots of bacterial spot may be superficial but develop into craters.",https://www.gardeningknowhow.com/wp-content/uploads/2016/07/bacterial-spot-peach.jpg
18,Peach : Healthy,"Cây ?ào m?c ? Khu v?c USDA 5 ??n 8 ho?c 9, và chúng có s?n ? kích th??c lùn ho?c tiêu chu?n, khi?n chúng tr? thành l?a ch?n tuy?t v?i cho các v??n cây ?n qu? ? sân sau. Không gi?ng nh? h?u h?t các lo?i cây c?nh, cây ?ào c?n ???c c?t t?a, bón phân và phun thu?c th??ng xuyên ?? gi? s?c kh?e và n?ng su?t. Gi? cho m?t ??t xung quanh cây c?a b?n không có c? và c? d?i s? c?nh tranh n??c và ch?t dinh d??ng, và mùn m?t cách hào phóng.","Packed With Nutrients and Antioxidants. 
May Aid Digestion. 
May Improve Heart Health. 
May Protect Your Skin.
May Prevent Certain Types of Cancer.
May Reduce Allergy Symptoms.
Widely Available and Easy to Add to Your Diet.",https://www.tasteofhome.com/wp-content/uploads/2019/06/peaches-shutterstock_297863489-1.jpg
19,Pepper bell : Bacterial Spot,"Các ??m lá xu?t hi?n ? m?t d??i c?a lá già là nh?, n?i m?n và ? b? m?t lá phía trên nh? nh?ng ??m nh? ngâm n??c là tri?u ch?ng c?a ??m vi khu?n. ?ây là m?t b?nh tiêu quan tr?ng ? Maryland. Nó c?ng th?nh tho?ng t?n công cà chua. Cu?i cùng, các ??m phát tri?n trung tâm màu xám ??n nâu v?i ???ng vi?n t?i h?n. Các t?n th??ng lan r?ng trong th?i ti?t ?m áp, ?m ??t. Lá sau ?ó có th? chuy?n sang màu vàng, sau ?ó nâu và r?ng. Các t?n th??ng c?ng có th? phát tri?n trên thân cây. Trái cây phát tri?n nh?ng ??m nh?, n?i lên thô ráp không ?nh h??ng ??n ch?t l??ng ?n u?ng. Lá b? nhi?m b?nh n?ng s? r?ng d?n ??n b?ng n?ng. B?nh ??m lá do vi khu?n lây lan do m?a b?n tung tóe và làm vi?c v?i cây ??t, b? nhi?m b?nh. B?nh này có th? làm r?ng lá cây trong th?i ti?t ?m ??t. Th?i ti?t nóng, khô làm ch?m s? lây lan c?a c?n b?nh này. B?nh có th? xâm nh?p vào h?t gi?ng ho?c c?y ghép và có th? ?an xen trong tàn d? cây tr?ng và ??t.","Select resistant varieties
Purchase disease-free seed and transplants.
Treat seeds by soaking them for 2 minutes in a 10% chlorine bleach solution (1 part bleach; 9 parts water). Thoroughly rinse seeds and dry them before planting.
Mulch plants deeply with a thick organic material like newspaper covered with straw or grass clippings.
Avoid overhead watering.
Remove and discard badly infected plant parts and all debris at the end of the season.
Spray every 10-14 days with fixed copper (organic fungicide) to slow down the spread of infection.
Rotate peppers to a different location if infections are severe and cover the soil with black plastic mulch or black landscape fabric prior to planting.",https://extension.umd.edu/sites/default/files/_images/programs/grow_it_eat_it/diseases/BacterialLeafSpot/bacterial_leaf_spot_pepper_plant_l.jpg
20,Pepper bell : Healthy,"Gi? ?t chuông t??i n??c t?t, nh?ng không bao gi? ?? ??t s?ng n??c. N??c ?? làm ?m ??t sâu kho?ng 6 inch, sau ?ó ?? khô nh?. T??i n??c ??c bi?t quan tr?ng trong quá trình ??u qu?, khi nh?ng qu? ?t nh? thay th? cho hoa và khi chuông tr??ng thành. ?? ?m phù h?p giúp ?t s?n ch?c và kh?e m?nh.","Red, Orange, and Yellow Bell Peppers are full of great health benefits—they're packed with vitamins and low in calories! They are an excellent source of vitamin A, vitamin C, and potassium. Bell Peppers also contain a healthy dose of fiber, folate, and iron.",https://www.healthbenefitstimes.com/9/gallery/bell-peppers/Bell-pepper-leaves.jpg
21,Potato : Early Blight,"? h?u h?t các khu v?c s?n xu?t, b?nh b?c lá s?m x?y ra hàng n?m ? m?t m?c ?? nào ?ó. M?c ?? nghiêm tr?ng c?a b?nh b?c lá s?m ph? thu?c vào t?n su?t ?m ??t c?a lá do m?a, s??ng ho?c t??i tiêu; tình tr?ng dinh d??ng c?a tán lá; và tính nh?y c?m v?i cây tr?ng. Các tri?u ch?ng ??u tiên c?a b?nh b?c lá s?m xu?t hi?n d??i d?ng các ??m nh?, tròn ho?c không ??u, màu nâu s?m ??n ?en trên lá già (d??i). Nh?ng ??m này m? r?ng ???ng kính lên ??n 3/8 inch và d?n d?n có th? tr? thành hình d?ng góc c?nh. Các t?n th??ng ban ??u trên lá non, m? r?ng hoàn toàn có th? b? nh?m l?n v?i t?n th??ng ??m nâu. Nh?ng t?n th??ng ??u tiên này xu?t hi?n kho?ng hai ??n ba ngày sau khi nhi?m trùng, v?i s? bào t? h?n n?a trên b? m?t c?a các t?n th??ng này x?y ra ba ??n n?m ngày sau ?ó.",Treatment of early blight includes prevention by planting potato varieties that are resistant to the disease; late maturing are more resistant than early maturing varieties. Avoid overhead irrigation and allow for sufficient aeration between plants to allow the foliage to dry as quickly as possible.,https://www.ag.ndsu.edu/publications/crops/early-blight-in-potato/figure-1-opt.jpeg/@@images/468990cc-77a9-4e29-8779-0eb3e94e0407.jpeg
22,Potato : Late Blight,"V?t ch? chính là khoai tây, nh?ng P. infestans c?ng có th? lây nhi?m sang các cây solanaceous khác, bao g?m cà chua, petunias và nighthade lông, có th? ?óng vai trò là ngu?n tiêm cho khoai tây. Các tri?u ch?ng ??u tiên c?a b?nh s??ng mai trên ??ng ru?ng là các ??m nh?, màu xanh nh?t ??n xanh ??m, hình tròn ??n hình d?ng không ??u. Nh?ng t?n th??ng này th??ng xu?t hi?n ??u tiên ? lá d??i. Các t?n th??ng th??ng b?t ??u phát tri?n g?n ??u lá ho?c mép lá, n?i s??ng ???c gi? l?i lâu nh?t. Trong th?i ti?t mát m?, ?m ??t, nh?ng t?n th??ng này lan r?ng nhanh chóng thành các t?n th??ng l?n, màu nâu s?m ho?c ?en, th??ng xu?t hi?n nh?n. Các t?n th??ng trên lá c?ng th??ng ???c bao quanh b?i m?t qu?ng sáng úa vàng",The severe late blight can be effectively managed with prophylactic spray of mancozeb at 0.25% followed by cymoxanil+mancozeb or dimethomorph+mancozeb at 0.3% at the onset of disease and one more spray of mancozeb at 0.25% seven days after application of systemic fungicides in West Bengal ,https://www.ag.ndsu.edu/publications/crops/late-blight-in-potato/figure-2-opt.jpeg/@@images/dfe1e0b4-08d4-404a-8e66-474de72b1e91.jpeg
23,Potato : Healthy,"Nhi?u lo?i khoai tây c?n ?? ?m phù h?p ?? phát tri?n, vì v?y hãy t??i n??c th??ng xuyên hàng ngày khi c? phát tri?n. Khi b?n t??i cây khoai tây, nó s? ??t ??n m?t ??t kho?ng 8-10 inch. Trong mùa nóng ho?c ?m, t??i n??c cho cây khoai tây v?i s? l??ng l?n hai l?n m?t ngày khi ??t khô nhanh.","Packed With Nutrients. Share on Pinterest.
Contain Antioxidants. Potatoes are rich in compounds like flavonoids, carotenoids and phenolic acids (4).
May Improve Blood Sugar Control.
May Improve Digestive Health.
Naturally Gluten-Free.
Incredibly Filling.
Extremely Versatile.",https://www.garden.eco/wp-content/uploads/2018/06/can-you-eat-potato-leaves.jpg
